Gene,MCF10A_1percent,MCF10A_20percent,MCF12A_1percent,MCF12A_20percent
NCF1,4.56578,1,0,3.7956
NCF2,26.00003,4.000002457,5.999999583,63.000088
NCK1,478.99971,122.00008,301.00041,583.00014
NCK2,418.0004,121.9587,173.9996,405.39567
NCKAP1,2552.06726,628.38785,1145.83605,3263.20353
NCKAP1L,9.189799096,1,0,6.09303
NCKAP5,0,0,3.000009,5.999992
NCKAP5L,229.85824,90.00757,51.00566,459.3408
NCKIPSD,590.00092,119.99951,158.99972,334.9999955
NCL,6351.00426,3034.9957,1353.99943,8432.0006
NCLN,1014.999675,528.0004596,368.00011,1884.00154
NCMAP,4.22174,0,0,0
NCOA1,212.99978,50.00004712,27.00002409,195.0004162
NCOA2,288.0001,75.00004,203.99961,692.9999
NCOA3,2315.08569,449.99987,828.74229,1098.02085
NCOA4,1561,493.9996,1100.00078,3951.99799
NCOA5,180.9996,105.99999,17.00002,504.99961
NCOA6,853.84565,178,256.9998,1030.00662
NCOA7,657.2765,274.999582,192.000293,2831.0045
NCOR1,1508.302,433.00047,425.7803157,1675.402676
NCOR2,2934.154487,470.0002345,1682.99924,3993.038911
NCR3LG1,226.99981,98,6,141.00037
NCS1,428.0003,211.9997,268.9998,978.9995
NCSTN,2000.00035,478.99999,595.000011,1636.441969
NDC1,742.9997,320.9998,382,1206.9996
NDC80,206.94833,80,128.43366,191.0964
NDE1,596.88958,189.94021,476.93614,815.5392698
NDEL1,532.99953,168.00003,184.99963,520.00075
NDFIP1,1247.0026,509.99974,432.6094,1290.9956
NDFIP2,822.99978,227.0000541,334.999445,1421.0012
NDNF,23.000028,1,2.000002,0
NDOR1,45.00004,51.00005,26,266.99993
NDP,0,0,5,5
NDRG1,67769.05459,490.0003796,89486.0293,4697.99561
NDRG2,15.374972,12.91414049,30.786406,200.7563947
NDRG3,432.9997,159.3275,81.99998,370.73672
NDRG4,3,0,2.00387,21
NDST1,1346.00018,442.00034,398.00023,2351.0014
NDST2,214.000416,82.99999,15.57794,323.4448352
NDST3,0,0,0,0
NDUFA1,697.356,358.878,340.827,554.339
NDUFA10,845.0624,439.00029,248.00044,724.0315
NDUFA11,612.12105,362.07716,405.499385,1096.57958
NDUFA12,296.00016,146.99993,147.99974,495.00044
NDUFA13,1034.41054,552.51764,713.78845,1471.85804
NDUFA2,697.62925,353,269.0001,477.0004
NDUFA3,327.64396,162.40736,179.06003,497.826953
NDUFA4,964.6785,606.99973,1003.00037,1997.50627
NDUFA4L2,2.000000028,2.999995398,3.999999917,18.99995593
NDUFA5,404.00184,152.99961,281.001165,1051.02006
NDUFA6,344.99962,211,203.0004323,444.0001
NDUFA7,341.709,205.99088,281.00431,523.97962
NDUFA8,330,228,162,576
NDUFA9,526.2652,301.86191,446.3255,884.9002
NDUFAB1,463,270.0004,380.99963,864.9999
NDUFAF1,73.01031,71.00009,7.999996,94.99995
NDUFAF2,266.99999,142.77484,177.00004,387.00043
NDUFAF3,225.00018,129.9902,92,235.9998
NDUFAF4,45.00001,68,14,293.0002
NDUFAF5,115.0282802,52.999996,42.023263,190.9999766
NDUFAF6,58.6563,47.00005,49.336849,319.09083
NDUFAF7,147.1641355,63.00004,41.17431,242.8360944
NDUFAF8,95.999928,107.00004,161.00021,376.000328
NDUFB1,258.1816906,180.02866,130.19933,299.1507601
NDUFB10,977.00064,437.00051,618.00024,1570.99994
NDUFB11,979.557,409.275,369.939,663.543
NDUFB2,495.331,288.94598,358.9929423,744.15894
NDUFB3,276.0004,144.9999,146.99991,433.9999
NDUFB4,1041.99858,417.00023,803.00012,1527.002721
NDUFB5,600.7897,299.113874,605.9995566,1615.37936
NDUFB6,253.0377,171.00021,224.99966,620.3165
NDUFB7,728,344,446,1001.00028
NDUFB8,801.11302,372.89275,913.3797,1740.64731
NDUFB9,1091.08517,710.00013,1117.95342,3444.15515
NDUFC1,428.99996,232.000073,166,376.99999
NDUFC2,484.4818,300.1003,242.77152,478.46271
NDUFC2-KCTD14,54.4841,2.8996,1.13E-06,1.9974
NDUFS1,950.2888,434.162179,281.376225,1474.478989
NDUFS2,1507.99928,704.9996936,805.99972,2415.500213
NDUFS3,445.15791,264.9999667,274.78844,653.093211
NDUFS4,467.01157,234.99967,231.00043,558.83355
NDUFS5,1352,739,515,1312
NDUFS6,480.9995,436.00003,517.99951,1132.99912
NDUFS7,693.19091,364.78579,760.015258,1507.144155
NDUFS8,430.00187,399.999741,352.999955,944.9237101
NDUFV1,1336.00361,592.00036,928.00035,2367.99517
NDUFV2,843.74347,400.12225,348.23495,742.74079
NDUFV3,8161.03712,1637.9536,9515.81644,10240.82786
NEB,12.000001,3,2.06776,24.29589
NEBL,433.99972,65,238.99977,398.0002158
NECAB1,2.14908,1,1,3.42228
NECAB2,1,0,2,3.999994
NECAB3,55.999993,29.99993246,71.99998,392.2399547
NECAP1,230.5120892,91.61046179,58.87114791,421.6966332
NECAP2,534.9999,179.00014,167.99979,577.9997
NECTIN1,4193.00218,630.0002,2082.9963,4384.00047
NECTIN2,394.99961,111.00004,271.9997,387.0001
NECTIN3,153.0004,20,22.00003,27.00004
NECTIN4,162.0002,20,855.982,866.456
